id,url,title,subtitle,claps,responses,reading_time,publication,date
78,https://writingcooperative.com/the-truth-about-why-some-people-are-more-creative-than-others-86e2eab76f44,The Truth About Why Some People Are More Creative Than Others,Extreme restrictions lead to the most…,758,8,4,The Writing Cooperative,01-03-2023
79,https://writingcooperative.com/a-hack-for-creating-dramatic-effect-with-dialogue-tags-c9d30468b894,A Hack for Creating Dramatic Effect With Dialogue Tags,,,0,5,The Writing Cooperative,01-03-2023
80,https://writingcooperative.com/5-reasons-to-give-basic-advice-as-a-writer-a302d5fcb13d,5 Reasons to Give Basic Advice as a Writer,"The underestimated power of basic advice, and why it should…",65,0,5,The Writing Cooperative,01-03-2023
81,https://writingcooperative.com/write-now-with-orlando-ortega-medina-b6a2e028b089,Write Now With Orlando Ortega-Medina,"Today’s Write Now interview features Orlando Ortega-Medina, a…",32,0,4,The Writing Cooperative,01-03-2023
82,https://writingcooperative.com/a-writers-crisis-of-faith-f1dd23b1bb7,A (Writer’s) Crisis of Faith,How to recover your love of writing if you find yourself in a slump.,110,3,7,The Writing Cooperative,01-03-2023
83,https://uxdesign.cc/why-is-jarvis-the-only-male-ai-8f2d2eb63f58,Why is JARVIS the only male AI?,Why was JARVIS the only male-coded AI in Tony Stark’s arsenal? Why is…,560,22,5,UX Collective,25-03-2023
84,https://uxdesign.cc/to-benefit-from-ai-your-organizations-learning-loops-must-evolve-5b6145415f6a,"To benefit from AI, your organization’s learning loops must evolve",Ideas are cheap. AI is posed to…,139,4,11,UX Collective,25-03-2023
85,https://uxdesign.cc/user-flow-evaluations-why-heuristic-evaluations-are-old-news-23e39b32efef,User flow evaluations: why heuristic evaluations are old news,I’m saying RIP to heuristic evaluations.,163,3,9,UX Collective,25-03-2023
86,https://uxdesign.cc/why-hyundai-decided-to-keep-physical-buttons-in-cars-47fb42f0a33e,Why Hyundai decided to keep physical buttons in cars,Improving driving safety with Fitt’s Law.,255,6,5,UX Collective,25-03-2023
87,https://uxdesign.cc/boosting-the-best-of-the-best-design-stories-on-medium-eb05f271c19d,Boosting the best-of-the-best design stories on Medium,"You write it, we boost it.",263,1,4,UX Collective,25-03-2023
88,https://uxdesign.cc/florence-henri-the-forgotten-female-pioneer-of-surreal-photography-9d3e482f80df,Florence Henri: the forgotten female pioneer of surreal photography,,81,2,7,UX Collective,25-03-2023
89,https://medium.com/swlh/if-i-was-22-again-and-just-starting-my-career-heres-the-life-changing-advice-i-d-give-myself-44e829e89537,"If I Was 22 Again and Just Starting My Career, Here’s the Life-Changing Advice I’d Give Myself",,1700,27,7,The Startup,25-03-2023
90,https://medium.com/swlh/how-to-make-your-first-1-online-3a0b1e14b12d,How to Make Your First $1 Online,A step-by-step low-risk strategy to $1,968,26,5,The Startup,25-03-2023
91,https://medium.com/swlh/why-the-majority-of-our-online-side-hustles-arent-profitable-3aedd69e46c9,Why the Majority of Our “Online Side Hustles” Aren’t Profitable,Three mindset shifts that have helped…,260,2,5,The Startup,25-03-2023
92,https://writingcooperative.com/the-elements-that-make-great-fiction-5193cea2975d,The Elements that Make Great Fiction,Introduction to the Five Elements of Fiction,92,1,6,The Writing Cooperative,25-03-2023
93,https://writingcooperative.com/5-fabulous-ways-to-make-it-astoundingly-clear-your-words-are-yours-6f3dae6ce0a2,5 Fabulous Ways to Make it Astoundingly Clear Your Words are Yours,My favourite writing techniques to…,396,7,7,The Writing Cooperative,25-03-2023
94,https://writingcooperative.com/hidden-clues-in-character-names-unveiling-the-secrets-authors-dont-tell-you-and-even-themselves-a67d481c280e,Hidden Clues in Character Names: Unveiling the Secrets Authors Don’t Tell You (and even Themselves),,52,0,5,The Writing Cooperative,25-03-2023
95,https://towardsdatascience.com/a-little-pandas-hack-to-handle-large-datasets-with-limited-memory-6745140f473b,A Little Pandas Hack to Handle Large Datasets with Limited Memory,The Pandas defaults aren’t optimal…,185,5,8,Towards Data Science,19-01-2023
96,https://towardsdatascience.com/how-to-set-started-with-tensorflow-using-keras-api-and-google-colab-5421e5e4ef56,How to get started with TensorFlow using Keras API and Google Colab,Step-by-step tutorial to analyze…,241,4,11,Towards Data Science,19-01-2023
97,https://towardsdatascience.com/data-quality-issues-that-kill-your-machine-learning-models-961591340b40,Data Quality Issues that Kill Your Machine Learning Models,,350,1,8,Towards Data Science,19-01-2023
98,https://towardsdatascience.com/exploring-token-probabilities-as-a-means-to-filter-gpt-3s-answers-3e7dfc9ca0c,Exploring Token Probabilities as a Means to Filter GPT-3’s Answers,To build better GPT-3-powered…,95,1,12,Towards Data Science,19-01-2023
99,https://towardsdatascience.com/where-is-data-science-headed-in-2023-dc90d66eb9bd,Where Is Data Science Headed in 2023?,Our weekly selection of must-read Editors’ Picks and original…,64,0,3,Towards Data Science,19-01-2023
100,https://towardsdatascience.com/google-application-credentials-python-ace518208a7,How to Set GOOGLE_APPLICATION_CREDENTIALS in Python,Configuring Application Default Credentials and…,4,0,3,Towards Data Science,19-01-2023
101,https://towardsdatascience.com/how-to-combine-the-forecasts-of-an-ensemble-11022e5cac25,How to Combine the Forecasts of an Ensemble,Using dynamic forecasting ensembles to cope with changes…,117,2,6,Towards Data Science,19-01-2023
102,https://towardsdatascience.com/unlock-the-power-of-causal-inference-a-data-scientists-guide-to-understanding-backdoor-686d2826efa4,Unlock the Power of Causal Inference: A Data Scientist’s Guide to Understanding the Backdoor Adjustment Formula,,51,1,9,Towards Data Science,19-01-2023
103,https://towardsdatascience.com/where-is-the-bus-gtfs-will-tell-us-f8adc18a2f8e,Where Is the Bus? GTFS Will Tell Us!,Show the real-time locations of public transport vehicles in the…,19,0,15,Towards Data Science,19-01-2023
104,https://towardsdatascience.com/a-step-by-step-guide-to-row-and-columns-access-policies-in-bigquery-6b0f6fe0b19f,A step-by-step guide to Row and Columns Access policies in BigQuery,Google’s Datawarehouse offers…,10,0,7,Towards Data Science,19-01-2023
105,https://towardsdatascience.com/linear-algebra-finding-inverse-matrix-with-python-18dd988f4df,"Linear Algebra: Finding Inverse Matrix, with Python",Part 3: A comprehensive step-by-step guide to…,5,0,5,Towards Data Science,19-01-2023
106,https://towardsdatascience.com/applied-reinforcement-learning-v-normalized-advantage-function-naf-for-continuous-control-62ad143d3095,Applied Reinforcement Learning V: Normalized Advantage Function (NAF) for Continuous Control,,37,0,9,Towards Data Science,19-01-2023
107,https://towardsdatascience.com/a-quickstart-guide-to-uprooting-model-bias-f4465c8e84bc,A Quickstart Guide To Uprooting Model Bias,,1100,1,12,Towards Data Science,19-01-2023
108,https://towardsdatascience.com/validate-a-string-as-html-using-sql-d70e81149a2,Validate a String as HTML Using SQL,Is it possible to check if a string contains valid HTML using just…,40,0,10,Towards Data Science,19-01-2023
109,https://uxdesign.cc/headless-design-systems-in-figma-df141768929a,Headless design systems in Figma,How to use Tokens Studio to create flexible component libraries,892,18,6,UX Collective,19-01-2023
110,https://uxdesign.cc/a-brief-literary-history-of-ar-b7b14d4c89,"A brief, literary history of AR","In Borge’s On Exactitude in Science, he imagines a map as large as the…",87,1,7,UX Collective,19-01-2023
111,https://medium.com/swlh/i-nearly-died-laughing-when-a-vc-told-me-the-1-metric-he-uses-for-deciding-which-startups-to-fund-f5090fc27329,"<strong class=""markup--strong markup--h3-strong"">I Nearly Died Laughing When a VC Told Me the #1 Metric He Uses For Deciding Which Startups to Fund</strong>",,323,9,5,The Startup,19-01-2023
112,https://medium.com/swlh/recession-proof-yourself-with-these-proven-strategies-to-live-with-less-stress-and-more-freedom-1f59481aae5b,Recession-Proof Yourself with These Proven Strategies to Live with Less Stress (And More Freedom),,783,9,6,The Startup,19-01-2023
113,https://medium.com/swlh/how-to-write-for-vice-in-4-steps-aa32599a2009,"How to Write for VICE, in 4 Steps",,625,3,9,The Startup,19-01-2023
114,https://medium.com/swlh/the-mindset-that-brings-unlimited-willpower-423164f45e2e,The Mindset That Brings Unlimited Willpower,,263,0,5,The Startup,19-01-2023
115,https://medium.com/swlh/7-careless-mistakes-which-could-destroy-your-freelance-career-ad098a9077ee,7 Careless Mistakes Which Could Destroy Your Freelance Career,"To develop a career as a freelancer, you’ll need to make certain adjustments to your outlook and habit.",152,2,6,The Startup,19-01-2023
116,https://medium.com/swlh/5-lessons-from-reaching-5-000-subscribers-on-youtube-733be75a875c,"5 Lessons From Reaching 5,000 Subscribers On YouTube",In a small niche,101,0,4,The Startup,19-01-2023
117,https://medium.com/swlh/3-mantras-i-adopted-to-silence-my-inner-critic-and-unleash-my-creative-self-52d3ac1276a3,3 Mantras I Adopted to Silence My Inner Critic and Unleash My Creative Self,,85,0,5,The Startup,19-01-2023
118,https://medium.com/swlh/how-i-build-a-pipeline-of-work-by-focusing-on-my-clients-professional-advancement-d780c7f06d11,"<strong class=""markup--strong markup--h3-strong"">How I Build a Pipeline of Work by Focusing on My Clients’ Professional Advancement</strong>",,134,0,4,The Startup,19-01-2023
119,https://medium.com/swlh/5-tiny-mistakes-that-are-ruining-your-pitches-to-potential-clients-85be251f8048,5 Tiny Mistakes That Are Ruining Your Pitches to Potential Clients,The importance of knowing what not…,131,2,5,The Startup,19-01-2023
120,https://writingcooperative.com/writing-fiction-the-crucial-art-of-mastering-point-of-view-c6e70bb07987,Writing Fiction: The Crucial Art of Mastering Point of View,Are you narrating your story in the way…,965,11,8,The Writing Cooperative,19-01-2023
121,https://writingcooperative.com/my-professor-told-me-you-might-want-to-rethink-that-when-i-told-her-i-wanted-to-publish-a-book-fbb6af062d9d,My Professor Told Me “You Might Want to Rethink That” When I Told Her I Wanted to Publish a Book,,262,4,8,The Writing Cooperative,19-01-2023
122,https://writingcooperative.com/transform-your-novel-plotting-skills-using-this-renowned-storytellers-method-fde1b860a42b,Transform Your Novel-Plotting Skills Using This Renowned Storyteller’s Method,A Breakdown of…,71,0,9,The Writing Cooperative,19-01-2023
123,https://towardsdatascience.com/3-easy-ways-to-include-interactive-maps-in-a-streamlit-app-b49f6a22a636,3 Easy Ways to Include Interactive Maps in a Streamlit App,Visualising Geospatial Data Within…,137,2,6,Towards Data Science,19-02-2023
124,https://towardsdatascience.com/pca-lda-ica-a-components-analysis-algorithms-comparison-c5762c4148ff,PCA/LDA/ICA : a components analysis algorithms comparison,Review the concepts and differences between…,13,0,8,Towards Data Science,19-02-2023
125,https://towardsdatascience.com/movie-recommendations-with-neo4j-adaad7c9bf2b,Movie Recommendations with Neo4j,Building a simple movie recommender with Python and Neo4j,13,0,7,Towards Data Science,19-02-2023
126,https://uxdesign.cc/so-are-fonts-cut-from-paper-now-6a936ccd0cc7,"<strong class=""markup--strong markup--h3-strong"">So, are fonts cut from paper now?</strong>","Not really, but the latest type trend sure looks like that.",147,0,4,UX Collective,19-02-2023
127,https://medium.com/swlh/the-most-important-money-lessons-people-learn-too-late-in-life-d124e9a76ed,The Most Important Money Lessons People Learn Too Late in Life,"In most cases, $1M equals dirt poor",1600,22,6,The Startup,19-02-2023
128,https://medium.com/swlh/7-ways-to-efficiently-scale-up-your-content-generation-without-burning-out-6469654d3370,7 Ways To Efficiently Scale Up Your Content Generation Without Burning Out,Grow without the impending stress that comes with the job,1400,29,7,The Startup,19-02-2023
129,https://medium.com/swlh/the-dark-psychology-of-customer-loyalty-programs-3a8fe9a4f57b,"<em class=""markup--em markup--h3-em"">The Dark Psychology of Customer Loyalty Programs</em>",You think you’re winning with customer loyalty…,362,10,5,The Startup,19-02-2023
